grid_id,학교거리,학교반경내여부,어린이보호구역여부,도로폭,차로수,일방통행여부,이면도로여부,보행등밀도,보행자신호등밀도,가로등밀도,바닥형보행신호등설치밀도,버스서비스강도,음식점밀도,공원접근성,편의점밀도
SEOUL_R000_C043,2721.601,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R000_C044,2404.2983,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R000_C045,1997.4773,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R000_C046,1482.1625,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R000_C047,1213.6162,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C043,2782.8657,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C044,2416.5964,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C045,1916.6904,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C046,1416.851,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C047,1099.8473,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C048,308.52582,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
SEOUL_R001_C049,85.24691,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
SEOUL_R001_C050,517.6773,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
SEOUL_R001_C052,1298.6924,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C053,1472.1755,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C054,1873.9862,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C055,2333.4863,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R001_C056,2658.6006,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C043,2733.2095,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C044,2355.6125,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C045,1949.4413,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C046,1488.5306,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C047,1037.3978,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C048,615.50806,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,21.714285714285715,1.0,0.1904761904761904
SEOUL_R002_C049,417.16046,1.0,0.0,0.0,0.0,1.0,0.0,40.0,40.0,,24.0,10.2,46.36842105263158,1.0,1.3397129186602872
SEOUL_R002_C050,434.95294,1.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,,8.0,,9.20689655172414,1.0,0.7931034482758621
SEOUL_R002_C051,546.78503,0.0,0.0,0.0,0.0,1.0,0.0,,,20.0,,5.0,3.0,1.0,0.0
SEOUL_R002_C052,880.9294,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,1.0,
SEOUL_R002_C053,1251.9785,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,1.0,
SEOUL_R002_C054,1686.4972,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C055,2149.6733,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C056,2541.5762,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C057,2584.9077,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R002_C058,2714.944,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C041,3165.7117,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C042,2994.6592,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C043,2527.6985,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C044,2133.5637,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C045,1674.367,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C046,1246.9625,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C047,893.52765,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C048,439.8659,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,36.42553191489362,1.0,1.9148936170212767
SEOUL_R003_C049,60.509426,1.0,1.0,0.0,0.0,1.0,0.0,56.0,56.0,,32.0,6.0,104.93589743589745,1.0,8.543589743589743
SEOUL_R003_C050,115.01232,1.0,1.0,0.0,0.0,1.0,0.0,64.0,64.0,,44.0,,29.22131147540984,1.0,2.557377049180328
SEOUL_R003_C051,211.88338,1.0,1.0,0.0,0.0,1.0,0.0,24.0,24.0,120.0,8.0,3.0,7.307692307692307,1.0,0.0
SEOUL_R003_C052,569.49774,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11.8,1.0,0.0
SEOUL_R003_C053,1049.357,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,1.0,
SEOUL_R003_C054,1542.0676,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,1.0,
SEOUL_R003_C055,1995.3712,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C056,2096.6755,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C057,2268.9016,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R003_C058,2446.224,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R004_C040,2971.3005,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R004_C041,2932.1223,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
SEOUL_R004_C042,2804.3223,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
SEOUL_R004_C043,2400.676,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R004_C044,2013.772,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R004_C045,1518.7784,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R004_C046,1028.6394,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.0,0.0,0.0
SEOUL_R004_C047,556.33594,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,1.75,0.0,0.0
SEOUL_R004_C048,215.96664,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,3.236842105263158,1.0,0.131578947368421
SEOUL_R004_C049,54.552174,1.0,0.0,0.0,0.0,1.0,0.0,48.0,48.0,,24.0,6.0,52.95367847411444,1.0,5.223433242506811
SEOUL_R004_C050,407.86932,1.0,0.0,0.0,0.0,1.0,0.0,56.0,56.0,24.0,24.0,3.25,22.4020618556701,1.0,3.3402061855670104
SEOUL_R004_C051,167.80777,1.0,1.0,0.0,0.0,1.0,0.0,72.0,72.0,56.0,32.0,8.0,44.77981651376147,1.0,3.871559633027523
SEOUL_R004_C052,548.5952,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17.949152542372882,1.0,0.2542372881355932
SEOUL_R004_C053,1036.221,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,0.0
SEOUL_R004_C054,1514.6985,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,1.0,1.0,0.0
SEOUL_R004_C055,1497.6417,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,1.0,1.0,0.0
SEOUL_R004_C056,1630.1757,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,1.0,
SEOUL_R004_C057,1798.6758,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,0.0
SEOUL_R004_C058,1997.4193,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R005_C040,2684.2317,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R005_C041,2500.8857,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R005_C042,2319.5361,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.916666666666667,0.0,0.0
SEOUL_R005_C043,2130.4946,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R005_C044,1723.3079,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R005_C045,1431.6959,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
SEOUL_R005_C046,1030.1855,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.03125,0.0,0.0
